IdEnrollment;Grade;StudentId;CourseId
1;10;1;1
2;10;1;2
3;6;1;3
4;4;1;4
5;9;1;5
6;7;1;6
7;10;1;7
8;4;1;8
9;8;1;9
10;6;1;10
11;17;1;11
12;5;1;12
13;6;1;13
14;10;1;14
15;8;1;15
16;14;1;16
17;14;1;17
18;12;1;18
19;15;1;19
20;15;1;20
21;9;1;21
22;6;1;22
23;12;1;23
24;10;1;24
25;6;1;25
26;8;1;26
27;10;1;27
28;16;1;28
29;16;1;29
30;15;1;30
31;14;1;31
32;6;1;32
33;19;1;33
34;20;1;34
35;10;1;35
36;14;1;36
37;13;1;37
38;12;1;38
39;13;1;39
40;16;1;40
41;9;1;41
42;10;1;42
43;20;1;43
44;16;1;44
45;8;1;45
46;5;1;46
47;16;1;47
48;15;1;48
49;8;1;49
50;19;1;50
51;9;1;51
52;9;1;52
53;15;1;53
54;9;1;54
55;15;1;55
56;7;1;56
57;4;1;57
58;17;1;58
59;17;1;59
60;14;1;60
61;6;1;61
62;15;1;62
63;7;1;63
64;19;1;64
65;9;1;65
66;5;1;66
67;7;1;67
68;13;1;68
69;15;1;69
70;6;1;70
71;5;1;71
72;17;2;1
73;17;2;2
74;14;2;3
75;4;2;4
76;16;2;5
77;12;2;6
78;15;2;7
79;11;2;8
80;11;2;9
81;20;2;10
82;12;2;11
83;4;2;12
84;5;2;13
85;7;2;14
86;4;2;15
87;6;2;16
88;20;2;17
89;10;2;18
90;8;2;19
91;13;2;20
92;19;2;21
93;20;2;22
94;17;2;23
95;7;2;24
96;4;2;25
97;20;2;26
98;12;2;27
99;4;2;28
100;6;2;29
101;9;2;30
102;7;2;31
103;6;2;32
104;10;2;33
105;18;2;34
106;8;2;35
107;11;2;36
108;13;2;37
109;4;2;38
110;17;2;39
111;12;2;40
112;11;2;41
113;14;2;42
114;7;2;43
115;4;2;44
116;6;2;45
117;13;2;46
118;8;2;47
119;20;2;48
120;18;2;49
121;13;2;50
122;9;2;51
123;17;2;52
124;19;2;53
125;20;2;54
126;13;2;55
127;9;2;56
128;11;2;57
129;17;2;58
130;11;2;59
131;6;2;60
132;14;2;61
133;18;2;62
134;5;2;63
135;9;2;64
136;10;2;65
137;20;2;66
138;5;2;67
139;9;2;68
140;12;2;69
141;12;2;70
142;18;2;71
143;8;3;1
144;13;3;2
145;15;3;3
146;18;3;4
147;14;3;5
