IdSchoolClass;ClassAcronym;ClassName;StartDate;EndDate;StartHour;EndHour;Location;Type;Area;CoursesCount;WorkHourLoad;StudentsCount;ClassAverage;HighestGrade;LowestGrade
1;ClassAcronym;ClassName;04/04/2022;04/04/2024;10:25;18:25;Location;Type;Area;;;;;;
2;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:13;11:13;Location;Type;Area;;;;;;
3;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:08;11:08;Location;Type;Area;;;;;;
4;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:08;11:08;Location;Type;Area;;;;;;
5;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:07;11:07;Location;Type;Area;;;;;;
6;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:07;11:07;Location;Type;Area;;;;;;
7;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:06;11:06;Location;Type;Area;;;;;;
8;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:05;11:05;Location;Type;Area;;;;;;
9;ClassAcronym;ClassName;04/03/2022;04/03/2024;03:03;11:03;Location;Type;Area;;;;;;
10;ClassAcronym;ClassName;04/03/2022;04/03/2024;02:59;10:59;Location;Type;Area;;;;;;
11;ClassAcronym;ClassName;04/03/2022;04/03/2024;02:55;10:55;Location;Type;Area;;;;;;
12;ClassAcronym;ClassName;04/03/2022;04/03/2024;02:52;10:52;Location;Type;Area;;;;;;
13;ClassAcronym;ClassName;04/03/2022;04/03/2024;00:57;08:57;Location;Type;Area;;;;;;
14;CLASSACRONYM;atualizado;04/03/2022;04/03/2024;00:54;08:54;Location;Type;Area;;;;;;
15;CLASSACRONYM;joel;04/03/2022;04/03/2024;23:15;07:15;Location;Type;Area;;;;;;
16;CLASSACRONYM;jorge rau;04/01/2022;04/01/2024;22:00;06:00;Location;Type;Area;;;;;;
17;ClassAcronym;ClassName;04/01/2022;04/01/2024;21:40;05:40;Location;Type;Area;;;;;;
18;ClassAcronym;ClassName;04/01/2022;04/01/2024;21:39;05:39;Location;Type;Area;;;;;;
